[DEBUG][10:59:55,925][main][ ][io.netty.util.internal.InternalThreadLocalMap:54][-Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024]
[DEBUG][10:59:55,925][main][ ][io.netty.util.internal.InternalThreadLocalMap:57][-Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096]
[DEBUG][10:59:55,944][main][ ][io.netty.util.ResourceLeakDetector:129][-Dio.netty.leakDetection.level: simple]
[DEBUG][10:59:55,945][main][ ][io.netty.util.ResourceLeakDetector:130][-Dio.netty.leakDetection.targetRecords: 4]
[DEBUG][10:59:55,996][main][ ][io.netty.util.internal.PlatformDependent:985][Platform: Windows]
[DEBUG][10:59:55,999][main][ ][io.netty.util.internal.PlatformDependent0:395][-Dio.netty.noUnsafe: false]
[DEBUG][10:59:55,999][main][ ][io.netty.util.internal.PlatformDependent0:851][Java version: 8]
[DEBUG][10:59:56,001][main][ ][io.netty.util.internal.PlatformDependent0:120][sun.misc.Unsafe.theUnsafe: available]
[DEBUG][10:59:56,002][main][ ][io.netty.util.internal.PlatformDependent0:144][sun.misc.Unsafe.copyMemory: available]
[DEBUG][10:59:56,003][main][ ][io.netty.util.internal.PlatformDependent0:182][java.nio.Buffer.address: available]
[DEBUG][10:59:56,003][main][ ][io.netty.util.internal.PlatformDependent0:243][direct buffer constructor: available]
[DEBUG][10:59:56,004][main][ ][io.netty.util.internal.PlatformDependent0:313][java.nio.Bits.unaligned: available, true]
[DEBUG][10:59:56,005][main][ ][io.netty.util.internal.PlatformDependent0:378][jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable prior to Java9]
[DEBUG][10:59:56,005][main][ ][io.netty.util.internal.PlatformDependent0:385][java.nio.DirectByteBuffer.<init>(long, int): available]
[DEBUG][10:59:56,005][main][ ][io.netty.util.internal.PlatformDependent:1028][sun.misc.Unsafe: available]
[DEBUG][10:59:56,006][main][ ][io.netty.util.internal.PlatformDependent:1147][-Dio.netty.tmpdir: C:\Users\34479\AppData\Local\Temp (java.io.tmpdir)]
[DEBUG][10:59:56,007][main][ ][io.netty.util.internal.PlatformDependent:1226][-Dio.netty.bitMode: 64 (sun.arch.data.model)]
[DEBUG][10:59:56,008][main][ ][io.netty.util.internal.PlatformDependent:173][-Dio.netty.maxDirectMemory: 1884815360 bytes]
[DEBUG][10:59:56,008][main][ ][io.netty.util.internal.PlatformDependent:180][-Dio.netty.uninitializedArrayAllocationThreshold: -1]
[DEBUG][10:59:56,010][main][ ][io.netty.util.internal.CleanerJava6:92][java.nio.ByteBuffer.cleaner(): available]
[DEBUG][10:59:56,011][main][ ][io.netty.util.internal.PlatformDependent:200][-Dio.netty.noPreferDirect: false]
[DEBUG][10:59:56,011][main][ ][io.netty.util.ResourceLeakDetectorFactory$DefaultResourceLeakDetectorFactory:202][Loaded default ResourceLeakDetector: io.netty.util.ResourceLeakDetector@759862a2]
[DEBUG][10:59:56,022][main][ ][io.netty.util.internal.PlatformDependent$Mpsc:890][org.jctools-core.MpscChunkedArrayQueue: available]
[DEBUG][10:59:56,034][main][ ][reactor.util.Loggers$Slf4JLogger:249][Using Slf4j logging framework]
[DEBUG][10:59:56,307][main][ ][io.netty.buffer.PooledByteBufAllocator:142][-Dio.netty.allocator.numHeapArenas: 8]
[DEBUG][10:59:56,307][main][ ][io.netty.buffer.PooledByteBufAllocator:143][-Dio.netty.allocator.numDirectArenas: 8]
[DEBUG][10:59:56,308][main][ ][io.netty.buffer.PooledByteBufAllocator:145][-Dio.netty.allocator.pageSize: 8192]
[DEBUG][10:59:56,308][main][ ][io.netty.buffer.PooledByteBufAllocator:150][-Dio.netty.allocator.maxOrder: 11]
[DEBUG][10:59:56,309][main][ ][io.netty.buffer.PooledByteBufAllocator:154][-Dio.netty.allocator.chunkSize: 16777216]
[DEBUG][10:59:56,309][main][ ][io.netty.buffer.PooledByteBufAllocator:155][-Dio.netty.allocator.tinyCacheSize: 512]
[DEBUG][10:59:56,309][main][ ][io.netty.buffer.PooledByteBufAllocator:156][-Dio.netty.allocator.smallCacheSize: 256]
[DEBUG][10:59:56,309][main][ ][io.netty.buffer.PooledByteBufAllocator:157][-Dio.netty.allocator.normalCacheSize: 64]
